vacancy_id,n_pairs,n_strict_relevant,n_relaxed_relevant,mrr_strict,mrr_relaxed,precision_strict@5,precision_relaxed@5,recall_strict@5,recall_relaxed@5,ndcg@5,precision_strict@10,precision_relaxed@10,recall_strict@10,recall_relaxed@10,ndcg@10
V00001,20,3,8,1.0,1.0,0.6,1.0,1.0,0.625,1.0,0.3,0.8,1.0,1.0,1.0
V00002,20,4,12,0.333333,1.0,0.4,1.0,0.5,0.416667,0.585029,0.4,0.9,1.0,0.75,0.757833
V00003,20,2,8,1.0,1.0,0.2,0.4,0.5,0.25,0.584661,0.2,0.4,1.0,0.5,0.67611
V00004,20,8,14,1.0,1.0,1.0,1.0,0.625,0.357143,1.0,0.7,0.9,0.875,0.642857,0.918602
V00005,20,8,18,1.0,1.0,1.0,1.0,0.625,0.277778,1.0,0.7,1.0,0.875,0.555556,0.94278
